"MWS_SAW_BATCH_ID";"AGE_INDEX";"MWS_EQP_ID";"MWS_LOT_ID_LIST";"INGOT_SEGMENT_COUNT";"MAX_POS_IN_SAWINGBATCH";"MAX_DEFLECTION";"MWS_RECIPE_ID";"MWS_CUT_NUMBER";"WIRE_GUIDE_ROLLER_RUN_COUNT";"MWS_CUT_DONE_TIMESTAMP";"MWS_BOW_PLATE_ALLOWED";"MWS_BOW_PROFILE_ACTIVE";"MWS_CUT_INTERRUPTED";"MWS_WIRE_BREAK";"SPC_ALARM";"WIRE_GUIDE_ROLLER_CHANGED";"COMPLETE_CUT";"WAFER_LIST"
"MWS326928";29.0;"LW_35";"M772E";1.0;275.0;38.0;"12.9C-B35";4192.0;13.0;"2019-01-31 13:43:515";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822474854,BW0822474853,BW0822474852,BW0822475120,BW0822475119,BW0822475118,BW0822475117,BW0822475116,BW0822475115,BW0822475114,BW0822475113,BW0822475112,BW0822475111,BW0822475110,BW0822475108"
"MWS326934";30.0;"LW_35";"M779W";1.0;226.0;38.0;"12.9C-B35";4191.0;12.0;"2019-01-31 00:10:150";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822470709,BW0822470708,BW0822470707,BW0822470904,BW0822470903,BW0822470902,BW0822470901,BW0822470900,BW0822470899,BW0822470898,BW0822470897,BW0822470896,BW0822470895,BW0822470892"
"MWS326757";31.0;"LW_35";"M77FB";1.0;390.0;38.0;"12.9C-B35";4190.0;11.0;"2019-01-30 08:23:525";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822466324,BW0822466323,BW0822466322,BW0822466321,BW0822466320,BW0822465751,BW0822465750,BW0822465749,BW0822465742,BW0822465741,BW0822465740,BW0822466332,BW0822466331,BW0822466330,BW0822466329,BW0822466328,BW0822466327,BW0822466326,BW0822466325"
"MWS325912";32.0;"LW_35";"M76FD;M76EW";2.0;363.0;38.0;"12.9C-B35";4189.0;10.0;"2019-01-29 18:04:159";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822462356,BW0822462355,BW0822462354,BW0822462353,BW0822462352,BW0822462351,BW0822462350,BW0822462349,BW0822462344,BW0822462072,BW0822462071,BW0822462070,BW0822462041,BW0822462040,BW0822462039,BW0822462038,BW0822462037,BW0822462036,BW0822462035,BW0822462034,BW0822462029,BW0822461751,BW0822461750,BW0822461749"
"MWS326554";33.0;"LW_35";"M77NY;M77NU";2.0;365.0;38.0;"12.9C-B35";4188.0;9.0;"2019-01-29 01:29:91";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822458598,BW0822458597,BW0822458596,BW0822458595,BW0822458593,BW0822458592,BW0822458591,BW0822458590,BW0822458589,BW0822458588,BW0822458586,BW0822458179,BW0822458178,BW0822458177,BW0822458594,BW0822458153,BW0822458152,BW0822458151,BW0822458150,BW0822458149,BW0822458148,BW0822458146,BW0822458145,BW0822458144"
"MWS326654";34.0;"LW_35";"M76YL";1.0;235.0;38.0;"12.9C-B35";4187.0;8.0;"2019-01-28 10:43:387";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822453071,BW0822453072,BW0822453074,BW0822453073,BW0822453070,BW0822453069,BW0822453068,BW0822453067,BW0822453066,BW0822453065,BW0822453062,BW0822452805,BW0822452804,BW0822452803"
"MWS326665";35.0;"LW_35";"M77PR";1.0;387.0;38.0;"12.9C-B35";4186.0;7.0;"2019-01-27 19:58:262";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822449326,BW0822449328,BW0822449327,BW0822449329,BW0822449323,BW0822449325,BW0822449324,BW0822449322,BW0822449321,BW0822449317,BW0822449320,BW0822449319,BW0822449318,BW0822448919,BW0822448918,BW0822448917,BW0822448908,BW0822448910,BW0822448909"
"MWS328311";1.0;"LW_34";"M79PW;M79PP";2.0;359.0;34.0;"15.0C-B34";5233.0;17.0;"2019-02-17 20:35:877";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822602655,BW0822602654,BW0822602653,BW0822602652,BW0822602651,BW0822602650,BW0822602649,BW0822602648,BW0822602643,BW0822602387,BW0822602386,BW0822602385,BW0822602338,BW0822602337,BW0822602336,BW0822602335,BW0822602334,BW0822602328,BW0822602340,BW0822602339,BW0822602080,BW0822602079,BW0822602078"
"MWS328220";2.0;"LW_34";"M79QW";1.0;391.0;34.0;"15.0C-B34";5232.0;16.0;"2019-02-17 04:02:150";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822596868,BW0822596867,BW0822596866,BW0822596865,BW0822596864,BW0822596863,BW0822596862,BW0822596861,BW0822596860,BW0822596859,BW0822596858,BW0822596857,BW0822596856,BW0822596378,BW0822596377,BW0822596376,BW0822596369,BW0822596368,BW0822596367"
"MWS328136";3.0;"LW_34";"M79GU";1.0;386.0;34.0;"15.0C-B34";5231.0;15.0;"2019-02-16 12:20:758";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822591725,BW0822591724,BW0822591723,BW0822591722,BW0822591721,BW0822591720,BW0822591719,BW0822591718,BW0822591717,BW0822591716,BW0822591715,BW0822591714,BW0822591713,BW0822591133,BW0822591132,BW0822591124,BW0822591123,BW0822591122"
"MWS328259";4.0;"LW_34";"M79NN";1.0;346.0;34.0;"15.0C-B34";5230.0;14.0;"2019-02-15 20:13:565";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822585655,BW0822585654,BW0822585646,BW0822585645,BW0822585644,BW0822586132,BW0822586131,BW0822586130,BW0822586129,BW0822586128,BW0822586127,BW0822586126,BW0822586125,BW0822586124,BW0822586123,BW0822586122,BW0822586121,BW0822586120"
"MWS328223";5.0;"LW_34";"M79QM";1.0;390.0;34.0;"15.0C-B34";5229.0;13.0;"2019-02-15 04:31:373";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822581534,BW0822581533,BW0822581532,BW0822581193,BW0822581192,BW0822581191,BW0822581184,BW0822581183,BW0822581182,BW0822581544,BW0822581543,BW0822581542,BW0822581541,BW0822581540,BW0822581539,BW0822581538,BW0822581537,BW0822581536,BW0822581535"
"MWS328198";6.0;"LW_34";"M79FP";1.0;238.0;34.0;"15.0C-B34";5228.0;12.0;"2019-02-14 12:18:586";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822576506,BW0822576505,BW0822576504,BW0822576503,BW0822576502,BW0822576501,BW0822576500,BW0822576499,BW0822576498,BW0822576497,BW0822576494,BW0822576199,BW0822576198,BW0822576197"
"MWS328087";7.0;"LW_34";"M79MU";1.0;391.0;34.0;"15.0C-B34";5227.0;11.0;"2019-02-13 18:51:538";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822572244,BW0822572243,BW0822572242,BW0822572241,BW0822572240,BW0822572239,BW0822572238,BW0822572237,BW0822572236,BW0822572235,BW0822572234,BW0822572233,BW0822572232,BW0822571750,BW0822571749,BW0822571748,BW0822571741,BW0822571740,BW0822571739"
"MWS327590";8.0;"LW_34";"M790J";1.0;383.0;34.0;"15.0C-B34";5226.0;10.0;"2019-02-13 03:06:663";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822567111,BW0822567110,BW0822567109,BW0822567108,BW0822567107,BW0822567106,BW0822567105,BW0822567104,BW0822567103,BW0822567102,BW0822567101,BW0822567100,BW0822567099,BW0822566551,BW0822566550,BW0822566549,BW0822566542,BW0822566541,BW0822566540"
"MWS327979";9.0;"LW_34";"M793K";1.0;216.0;34.0;"15.0C-B34";5225.0;9.0;"2019-02-12 11:13:237";"Y";"Y";"Y";"N";"N";"N";"Y";"BW0822561879,BW0822561878,BW0822561877,BW0822561876,BW0822561875,BW0822561874,BW0822561873,BW0822561872,BW0822561871,BW0822561867,BW0822561657,BW0822561655,BW0822561656"
"MWS327565";10.0;"LW_34";"M79DD";1.0;384.0;34.0;"15.0C-B34";5224.0;8.0;"2019-02-11 19:19:47";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822557301,BW0822557300,BW0822557299,BW0822557298,BW0822557297,BW0822557296,BW0822557295,BW0822557294,BW0822557293,BW0822557292,BW0822557291,BW0822557290,BW0822557289,BW0822557000,BW0822556999,BW0822556998,BW0822556991,BW0822556990,BW0822556989"
"MWS327717";11.0;"LW_34";"M79GA";1.0;390.0;34.0;"15.0C-B34";5223.0;7.0;"2019-02-11 03:20:987";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822553136,BW0822553135,BW0822553134,BW0822553133,BW0822553132,BW0822553131,BW0822553130,BW0822553129,BW0822553128,BW0822553127,BW0822553126,BW0822553125,BW0822553124,BW0822552845,BW0822552844,BW0822552843,BW0822552836,BW0822552835,BW0822552834"
"MWS327953";12.0;"LW_34";"M79FR";1.0;391.0;34.0;"15.0C-B34";5222.0;6.0;"2019-02-10 11:31:855";"Y";"N";"N";"N";"N";"N";"Y";"BW0822548748,BW0822548747,BW0822548746,BW0822548745,BW0822548744,BW0822548743,BW0822548742,BW0822548741,BW0822548740,BW0822548739,BW0822548738,BW0822548737,BW0822548736,BW0822548210,BW0822548209,BW0822548208,BW0822548201,BW0822548200,BW0822548199"
"MWS327753";13.0;"LW_34";"M79CT";1.0;391.0;34.0;"15.0C-B34";5221.0;5.0;"2019-02-09 19:51:534";"Y";"N";"N";"N";"N";"N";"Y";"BW0822543548,BW0822543547,BW0822543546,BW0822543545,BW0822543544,BW0822543543,BW0822543542,BW0822543541,BW0822543540,BW0822543539,BW0822543538,BW0822543537,BW0822543536,BW0822543211,BW0822543210,BW0822543209,BW0822543202,BW0822543201,BW0822543200"
"MWS327583";14.0;"LW_34";"M79BR";1.0;294.0;34.0;"15.0C-B34";5220.0;4.0;"2019-02-09 04:01:323";"Y";"N";"N";"N";"N";"N";"Y";"BW0822538332,BW0822538331,BW0822538330,BW0822538329,BW0822538328,BW0822538327,BW0822538326,BW0822538325,BW0822538324,BW0822538323,BW0822538322,BW0822538321,BW0822538320,BW0822538035,BW0822538034,BW0822538033"
"MWS327467";15.0;"LW_34";"M77JY;M793G";2.0;379.0;34.0;"15.0C-B34";5219.0;3.0;"2019-02-08 12:20:899";"Y";"N";"N";"N";"N";"N";"Y";"BW0822533962,BW0822533961,BW0822533960,BW0822533959,BW0822533958,BW0822533957,BW0822533955,BW0822533954,BW0822533953,BW0822533809,BW0822533808,BW0822533807,BW0822533806,BW0822533805,BW0822533804,BW0822533803,BW0822533802,BW0822533801,BW0822533800,BW0822533799,BW0822533798,BW0822533797,BW0822533304,BW0822533303,BW0822533302"
"MWS327322";16.0;"LW_34";"M77LE;M790F";2.0;390.0;34.0;"15.0C-B34";5218.0;2.0;"2019-02-07 11:01:473";"Y";"N";"N";"N";"N";"N";"Y";"BW0822525762,BW0822525761,BW0822525760,BW0822525759,BW0822525758,BW0822525757,BW0822525750,BW0822525501,BW0822525500,BW0822525499,BW0822525756,BW0822525475,BW0822525474,BW0822525473,BW0822525472,BW0822525471,BW0822525470,BW0822525469,BW0822525468,BW0822525467,BW0822525463,BW0822525169,BW0822525168,BW0822525167"
"MWS327159";17.0;"LW_34";"M77RJ;M74FH";2.0;334.0;34.0;"15.0C-B34";5216.0;91.0;"2019-02-06 04:15:44";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822516723,BW0822516722,BW0822516721,BW0822516720,BW0822516719,BW0822516718,BW0822516717,BW0822516716,BW0822516715,BW0822516714,BW0822516711,BW0822516484,BW0822516483,BW0822516482,BW0822516458,BW0822516457,BW0822516456,BW0822516455,BW0822516454,BW0822516453,BW0822516451,BW0822516450,BW0822516449"
"MWS327355";18.0;"LW_34";"M77UF";1.0;391.0;34.0;"15.0C-B34";5215.0;90.0;"2019-02-05 12:26:153";"Y";"Y";"Y";"N";"N";"N";"Y";"BW0822512198,BW0822512197,BW0822512196,BW0822512195,BW0822512194,BW0822512193,BW0822512192,BW0822512191,BW0822512190,BW0822512189,BW0822512188,BW0822512187,BW0822512186,BW0822511708,BW0822511707,BW0822511706,BW0822511699,BW0822511698,BW0822511697"
"MWS326949";19.0;"LW_34";"M790E;M790C;M790D";3.0;367.0;34.0;"15.0C-B34";5214.0;89.0;"2019-02-04 18:03:817";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822506351,BW0822506350,BW0822506349,BW0822506348,BW0822506347,BW0822506346,BW0822506345,BW0822506339,BW0822506106,BW0822506105,BW0822506104,BW0822506091,BW0822506090,BW0822506089,BW0822506088,BW0822506087,BW0822506086,BW0822506084,BW0822506083,BW0822506082,BW0822505883,BW0822505882,BW0822505881,BW0822505880,BW0822505879,BW0822505878,BW0822505876,BW0822505875,BW0822505874"
