"MWS_SAW_BATCH_ID";"MX_Y";"MX_LOCAL_WARP__X_Y_RAW";"MX_LOCAL_WARP__X_Y_SMOOTH"
"MWS326276";-148.0;1.179260552260611;1.1542428313072746
"MWS326276";-146.0;1.4850243063436608;1.1195100403364049
"MWS326276";-144.0;1.5476246428324116;1.0711899670170797
"MWS326276";-142.0;1.3188303961025343;1.004697018420778
"MWS326276";-140.0;0.9875672353747197;0.9211194554024899
"MWS326276";-138.0;0.7453992097245323;0.8255815335025073
"MWS326276";-136.0;0.5661343088849551;0.7228777617069302
"MWS326276";-134.0;0.4277249626034043;0.6158584186503009
"MWS326276";-132.0;0.33633089340033223;0.5063864667677584
"MWS326276";-130.0;0.2295924107254379;0.3959978918524245
"MWS326276";-128.0;0.17093556679371327;0.28610002827500314
"MWS326276";-126.0;0.08165657620256143;0.1769678960526485
"MWS326276";-124.0;-0.009454837767019256;0.06917371910961613
"MWS326276";-122.0;-0.03307907328164826;-0.035846987684885076
"MWS326276";-120.0;-0.10471854462391798;-0.13974572423543358
"MWS326276";-118.0;-0.22103964881764518;-0.24723865189954658
"MWS326276";-116.0;-0.377528670695093;-0.3620278448438752
"MWS326276";-114.0;-0.48379565603203234;-0.48359418275415766
"MWS326276";-112.0;-0.5299383430400242;-0.6092972118580188
"MWS326276";-110.0;-0.598593885647133;-0.7381630335602987
"MWS326276";-108.0;-0.8057249928224419;-0.8706991935757232
"MWS326276";-106.0;-1.0857845239248127;-1.0055747702321027
"MWS326276";-104.0;-1.2477669186739606;-1.1382124918030418
"MWS326276";-102.0;-1.479361893567774;-1.2641304081512814
"MWS326276";-100.0;-1.8214691964335117;-1.3795327010382687
"MWS326276";-98.0;-2.0222666915920047;-1.4780675763371738
"MWS326276";-96.0;-1.8418324592337008;-1.5525881670139448
"MWS326276";-94.0;-1.7020137044246726;-1.6021909690190856
"MWS326276";-92.0;-1.7220686694069043;-1.630845348321897
"MWS326276";-90.0;-1.8349867547220655;-1.6401185577248114
"MWS326276";-88.0;-1.8420623079273435;-1.6278863702046444
"MWS326276";-86.0;-1.7459778514752786;-1.5920897376394116
"MWS326276";-84.0;-1.649365727617923;-1.5337747576065277
"MWS326276";-82.0;-1.659233293566439;-1.4562296195706939
"MWS326276";-80.0;-1.4311477509140969;-1.3623702049360908
"MWS326276";-78.0;-1.1277089072685598;-1.2563541821976953
"MWS326276";-76.0;-1.0183633405441006;-1.1444049682659734
"MWS326276";-74.0;-1.018320119579633;-1.0286193688236238
"MWS326276";-72.0;-0.9398766490320365;-0.9070366181008656
"MWS326276";-70.0;-0.7446225859224798;-0.7789931018957708
"MWS326276";-68.0;-0.4922676518935865;-0.6467342225504319
"MWS326276";-66.0;-0.2886336566342248;-0.5144881414032474
"MWS326276";-64.0;-0.32247045836327337;-0.3859447492561013
"MWS326276";-62.0;-0.30474345201005537;-0.2605840718861437
"MWS326276";-60.0;-0.14386592619121077;-0.13611628186184666
"MWS326276";-58.0;0.056526736516712424;-0.011912044589767115
"MWS326276";-56.0;0.2827050208093392;0.11313018891413174
"MWS326276";-54.0;0.34720447868315707;0.23869708093012737
"MWS326276";-52.0;0.452637454392412;0.3627786886895526
"MWS326276";-50.0;0.5784921278763148;0.4838290911622402
"MWS326276";-48.0;0.6222168195101484;0.6004872987342554
"MWS326276";-46.0;0.6634829228291184;0.7125927423724988
"MWS326276";-44.0;0.8731094708314373;0.8215128606745724
"MWS326276";-42.0;1.0024842604741249;0.9261043214202243
"MWS326276";-40.0;1.1379674771604023;1.0234940294249593
"MWS326276";-38.0;1.4138100480371052;1.111723236801788
"MWS326276";-36.0;1.5156574168470172;1.1871967399804293
"MWS326276";-34.0;1.4837881909476385;1.2475785021449746
"MWS326276";-32.0;1.467851386467616;1.293918244411841
"MWS326276";-30.0;1.400468032889896;1.3277774884292046
"MWS326276";-28.0;1.3272873129447302;1.3505441850218876
"MWS326276";-26.0;1.3879484130276574;1.3635974327729559
"MWS326276";-24.0;1.4306089780065747;1.3664707508101126
"MWS326276";-22.0;1.5074418467945525;1.3576478515803938
"MWS326276";-20.0;1.389970881094535;1.3359717110151064
"MWS326276";-18.0;1.2497825193374108;1.302148611864229
"MWS326276";-16.0;1.2515724502855703;1.2601145198368229
"MWS326276";-14.0;1.3090052862755128;1.212157380468352
"MWS326276";-12.0;1.2983322855788801;1.1564692638696725
"MWS326276";-10.0;1.1886674859312676;1.0902776488908608
"MWS326276";-8.0;1.1234444900286489;1.0124753567403846
"MWS326276";-6.0;0.985341276794465;0.9229394291371174
"MWS326276";-4.0;0.7759376582384317;0.8226160551962164
"MWS326276";-2.0;0.6539219929443465;0.7147686390997273
"MWS326276";0.0;0.5710600080815228;0.6029464058348102
"MWS326276";2.0;0.5144706922790243;0.4880414489406066
"MWS326276";4.0;0.3741623138698439;0.3686280136060449
"MWS326276";6.0;0.2013521054159436;0.2450562234471934
"MWS326276";8.0;-0.03901621514879583;0.12076600794525719
"MWS326276";10.0;-0.17743909552137155;5.595729893752536E-4
"MWS326276";12.0;-0.27281938895169233;-0.11150385729656301
"MWS326276";14.0;-0.382334070901076;-0.21285000209953941
"MWS326276";16.0;-0.41847388118505485;-0.3021306737342481
"MWS326276";18.0;-0.45482107493612495;-0.3793788395012627
"MWS326276";20.0;-0.6091723767585225;-0.4444470059988925
"MWS326276";22.0;-0.761215311023924;-0.4954512310534197
"MWS326276";24.0;-0.7945446111592981;-0.5294867105945633
"MWS326276";26.0;-0.7586893554471643;-0.5447605376871405
"MWS326276";28.0;-0.7072203266620635;-0.5417890270316816
"MWS326276";30.0;-0.5840891321996847;-0.5232472241909165
"MWS326276";32.0;-0.48508271611399123;-0.49272227359975024
"MWS326276";34.0;-0.520915336761132;-0.4533482862039816
"MWS326276";36.0;-0.43547832890517185;-0.40594983397216977
"MWS326276";38.0;-0.30497138064302914;-0.3507359096281071
"MWS326276";40.0;-0.23520923515160874;-0.2893589987431778
"MWS326276";42.0;-0.1973477380971113;-0.22343635292858757
"MWS326276";44.0;-0.05047462270491656;-0.15450590457020316
"MWS326276";46.0;0.01755981981340377;-0.08485977316710035
"MWS326276";48.0;0.002343362762282301;-0.015972453750873444
"MWS326276";50.0;0.028122580264591572;0.05316299917398948
"MWS326276";52.0;0.053599568501566434;0.12457827644373867
"MWS326276";54.0;0.19445075280964377;0.20018511603560485
"MWS326276";56.0;0.2566642903940132;0.27970169169093484
"MWS326276";58.0;0.3683285548041264;0.36150136823923495
"MWS326276";60.0;0.524450651233395;0.4437946562158112
"MWS326276";62.0;0.5823835988104756;0.5226950725778005
"MWS326276";64.0;0.6208682107123441;0.5942522684261756
"MWS326276";66.0;0.7147737527359277;0.6571619686242266
"MWS326276";68.0;0.8405689962518711;0.7109525904914475
"MWS326276";70.0;0.9676372176408766;0.7537414020802973
"MWS326276";72.0;1.1032913926285175;0.7819365492654868
"MWS326276";74.0;1.1807545155617925;0.7907861607331561
"MWS326276";76.0;1.1344894151058462;0.7773584122452142
"MWS326276";78.0;0.9546682704938575;0.7416385704326699
"MWS326276";80.0;0.692496434458428;0.686308774743858
"MWS326276";82.0;0.48508493615521325;0.6170512792859087
"MWS326276";84.0;0.43974191362762627;0.539924417151977
"MWS326276";86.0;0.4406411499943999;0.4573212311417984
"MWS326276";88.0;0.44977910973131663;0.3678686028007874
"MWS326276";90.0;0.21743449429515752;0.2700108901054237
"MWS326276";92.0;-0.02640656602646535;0.16625786038086734
"MWS326276";94.0;-0.10902393002641876;0.06354316244058028
"MWS326276";96.0;-0.17002191676240824;-0.03226323168528043
"MWS326276";98.0;-0.19864633248989574;-0.11973146659706113
"MWS326276";100.0;-0.18534341747044683;-0.2010870270758022
"MWS326276";102.0;-0.1402014265426745;-0.27997009749441565
"MWS326276";104.0;-0.3086614586638682;-0.3587139784543623
"MWS326276";106.0;-0.6361028437068065;-0.43572079786980045
"MWS326276";108.0;-0.8194162567001251;-0.5054464991385896
"MWS326276";110.0;-0.8334261549781594;-0.5626973938399679
"MWS326276";112.0;-0.6477802419000201;-0.6070765208396912
"MWS326276";114.0;-0.5254658955107961;-0.6433690606486394
"MWS326276";116.0;-0.6802378859184682;-0.6763165138496466
"MWS326276";118.0;-0.9237214115779435;-0.7049966587600697
"MWS326276";120.0;-0.9969247812694974;-0.7240287685085544
"MWS326276";122.0;-0.8039083856370095;-0.7288569801468385
"MWS326276";124.0;-0.6712319256572259;-0.7186113577616635
"MWS326276";126.0;-0.6424561133763442;-0.6960648223754496
"MWS326276";128.0;-0.6640410336810681;-0.665481119898607
"MWS326276";130.0;-0.7345038533710045;-0.6306091465191203
"MWS326276";132.0;-0.8016194304989445;-0.5925147147203755
"MWS326276";134.0;-0.740425026681688;-0.5489638604601934
"MWS326276";136.0;-0.5384750312711629;-0.49835757070813036
"MWS326276";138.0;-0.37116828208168345;-0.44348957767655633
"MWS326276";140.0;-0.24535473161273533;-0.390043726391807
"MWS326276";142.0;-0.015999953495338618;-0.34253465432722197
"MWS326276";144.0;-0.025235183678774427;-0.30391497963895997
"MWS326276";146.0;-0.049943173891968166;-0.2747574335282992
"MWS326276";148.0;-0.24987783928712226;-0.25391532242997006
"MWS326023";-148.0;1.4174092364642354;1.6073022735666467
"MWS326023";-146.0;1.5872180795214241;1.6481640003585316
"MWS326023";-144.0;1.8441222474020387;1.6867507764319922
"MWS326023";-142.0;1.9866767492072863;1.7175821827479234
"MWS326023";-140.0;2.045164425058497;1.735292194486263
"MWS326023";-138.0;2.101525172233943;1.7361806235809247
"MWS326023";-136.0;2.069980856064293;1.7171844722873286
"MWS326023";-134.0;1.9304852185212071;1.6767288299698624
"MWS326023";-132.0;1.742077093720436;1.6160051403008155
"MWS326023";-130.0;1.5383581795295078;1.5377606160835446
"MWS326023";-128.0;1.4119048086802166;1.4451686345472423
"MWS326023";-126.0;1.3075412066777548;1.3411180391359696
"MWS326023";-124.0;1.169247022734748;1.228331073409312
"MWS326023";-122.0;1.0332535820371578;1.110484015030313
"MWS326023";-120.0;0.8312937648304634;0.9914615821274282
"MWS326023";-118.0;0.6503508791741396;0.8753283036099415
"MWS326023";-116.0;0.5659444997200949;0.7658363461714672
"MWS326023";-114.0;0.5465597062061228;0.6648413737350294
"MWS326023";-112.0;0.4595795357041061;0.5721130165805133
"MWS326023";-110.0;0.3969810740608308;0.48649392226206967
"MWS326023";-108.0;0.37700365443610484;0.40634090867575223
"MWS326023";-106.0;0.30998699721725037;0.32950274546796837
"MWS326023";-104.0;0.2002306042159108;0.2550499257954338
"MWS326023";-102.0;0.13889670394154058;0.18330320685574
"MWS326023";-100.0;0.13618769260744257;0.11413390129534595
"MWS326023";-98.0;0.008676213911838019;0.04586041015022635
"MWS326023";-96.0;-0.04819448401427104;-0.02283353616624735
"MWS326023";-94.0;-0.07394012233449353;-0.09206137284497573
"MWS326023";-92.0;-0.1644911388721731;-0.1618637417455904
"MWS326023";-90.0;-0.30960676842265655;-0.23160571487586368
"MWS326023";-88.0;-0.42971668708655564;-0.30012965336223973
"MWS326023";-86.0;-0.4386793179147774;-0.36603343594653304
"MWS326023";-84.0;-0.47645356206326844;-0.42871253868873443
"MWS326023";-82.0;-0.5323097505337663;-0.48852889381185316
"MWS326023";-80.0;-0.6029059201810095;-0.5456916848201433
"MWS326023";-78.0;-0.6731019450558555;-0.5996750521304058
"MWS326023";-76.0;-0.7290080464941759;-0.6496800359943491
"MWS326023";-74.0;-0.742671816506837;-0.6951948642691829
"MWS326023";-72.0;-0.7282507937484316;-0.7361779130024135
"MWS326023";-70.0;-0.8328987018267313;-0.7738878655846777
"MWS326023";-68.0;-0.8957017572720846;-0.8094682920800715
"MWS326023";-66.0;-0.8831449359655379;-0.8432222869986407
"MWS326023";-64.0;-0.8847889016071953;-0.8753192497650216
"MWS326023";-62.0;-0.9411522087785934;-0.9053765293267519
"MWS326023";-60.0;-0.9684787895944384;-0.9325426100289912
"MWS326023";-58.0;-0.9327241581347252;-0.9566736994245044
"MWS326023";-56.0;-0.9339464370409647;-0.9790136311619353
"MWS326023";-54.0;-0.9809227742917009;-1.0009210722014
"MWS326023";-52.0;-1.0678719548188675;-1.0226503903311142
"MWS326023";-50.0;-1.1544239116625654;-1.043067641064606
"MWS326023";-48.0;-1.1981672356608841;-1.0605472888169527
"MWS326023";-46.0;-1.1597237153754882;-1.0741259781459507
"MWS326023";-44.0;-1.0530744388616744;-1.0838637852075945
"MWS326023";-42.0;-1.0118046974147568;-1.0910479114014846
"MWS326023";-40.0;-1.0652433672712909;-1.097397096345698
"MWS326023";-38.0;-1.102923131333664;-1.1032559499769332
"MWS326023";-36.0;-1.1418099278744516;-1.107398244489733
"MWS326023";-34.0;-1.1806240498398741;-1.1079868315400816
"MWS326023";-32.0;-1.1836293188813658;-1.1037395271655703
"MWS326023";-30.0;-1.1122923222774015;-1.094818618947768
"MWS326023";-28.0;-1.084097828600918;-1.0825669162015235
"MWS326023";-26.0;-1.0846609267633824;-1.068359474923711
"MWS326023";-24.0;-1.0622653705875078;-1.0524771539718931
"MWS326023";-22.0;-1.0745635416441495;-1.0341038907719478
"MWS326023";-20.0;-1.0718353267593517;-1.011569410600421
"MWS326023";-18.0;-1.0199828990341888;-0.9842048895170332
"MWS326023";-16.0;-0.8920711317161719;-0.9530686184513861
"MWS326023";-14.0;-0.8707493274079428;-0.9200945670793346
"MWS326023";-12.0;-0.8742419122656185;-0.8868751960265641
"MWS326023";-10.0;-0.829146597882112;-0.8538395969935602
"MWS326023";-8.0;-0.8198948502375021;-0.8209181640237094
"MWS326023";-6.0;-0.8247557746536203;-0.7873200484128828
"MWS326023";-4.0;-0.7581102161854506;-0.7524317816541912
"MWS326023";-2.0;-0.6184250776852588;-0.7170474485463991
"MWS326023";0.0;-0.6313164120634097;-0.6833633062822344
"MWS326023";2.0;-0.6298035444668494;-0.6526545310693492
"MWS326023";4.0;-0.582015396544852;-0.6245300564359996
"MWS326023";6.0;-0.5721276078453391;-0.5983895816843137
"MWS326023";8.0;-0.5903559067338293;-0.5733360654101232
"MWS326023";10.0;-0.5433326850334803;-0.5485927897278671
"MWS326023";12.0;-0.4230235321323078;-0.5242337387317602
"MWS326023";14.0;-0.4394887327126021;-0.501505863829655
"MWS326023";16.0;-0.48010368179452306;-0.4809980769294854
"MWS326023";18.0;-0.4761761624407436;-0.4616344932502369
"MWS326023";20.0;-0.4719813589089446;-0.44197274714041956
"MWS326023";22.0;-0.47530044426520673;-0.4207969914455471
"MWS326023";24.0;-0.43308338334059554;-0.3974117283530119
"MWS326023";26.0;-0.3297738618146913;-0.37165303509541514
"MWS326023";28.0;-0.3122500460570316;-0.3441499810162657
"MWS326023";30.0;-0.3285835645596187;-0.3156003539493246
"MWS326023";32.0;-0.281322640452741;-0.28558885700492437
"MWS326023";34.0;-0.24306886473308426;-0.2531063056429704
"MWS326023";36.0;-0.24209061762628464;-0.21727709788857333
"MWS326023";38.0;-0.23430129085977872;-0.1776196494550211
"MWS326023";40.0;-0.10947034507989896;-0.1340828871173662
"MWS326023";42.0;-0.08207182520560705;-0.08801315766888457
"MWS326023";44.0;-0.048190855981988995;-0.04119565645223709
"MWS326023";46.0;0.02549153437217077;0.005719339834947386
"MWS326023";48.0;0.0622587620218595;0.05271521839181311
"MWS326023";50.0;0.08213658400397322;0.10001810960163059
"MWS326023";52.0;0.15861810664787435;0.14730820121498006
"MWS326023";54.0;0.3244424263139566;0.1932586782928742
"MWS326023";56.0;0.390479159305493;0.23531480133796437
"MWS326023";58.0;0.3888796487781736;0.2711589718332637
"MWS326023";60.0;0.3783280228575071;0.30014641956702254
"MWS326023";62.0;0.33542379337880346;0.32346627191385185
"MWS326023";64.0;0.33193368595921335;0.343227841940776
"MWS326023";66.0;0.401701369912674;0.3605748339825684
